Config,Sequence,Precision,Recall,F1-score,AP@0.5,Success(AUC),FPS,CDR (%)
Only MOD,phantom30,0.7534,0.0367,0.07,0.0396,0.0251,27.1,3.67
Only MOD,phantom32,0.1792,0.038,0.0627,0.0396,0.0866,24.68,3.8
Only MOD,phantom36,0.312,0.0904,0.1402,0.099,0.1267,25.66,9.04
Only MOD,phantom38,0.0515,0.0077,0.0134,0.0099,0.0406,27.03,0.77
Only MOD,phantom39,0.0619,0.0104,0.0178,0.0198,0.0589,28.82,1.04
Only MOD,phantom40,0.8515,0.4162,0.5591,0.4158,0.286,26.86,41.62
Only MOD,phantom41,0.0187,0.0039,0.0064,0.0099,0.0574,26.94,0.39
Only MOD,phantom42,0.0567,0.021,0.0306,0.0297,0.0743,26.8,2.07
Only MOD,phantom43,0.0121,0.0022,0.0038,0.0099,0.034,22.84,0.22
Only MOD,phantom44,0.3247,0.0626,0.1049,0.0693,0.081,24.12,6.26
Only MOD,phantom45,0.1722,0.0615,0.0907,0.0693,0.1428,28.74,6.15
Only MOD,phantom46,0.1331,0.0217,0.0373,0.0297,0.0638,29.27,2.17
Only MOD,phantom47,0.8397,0.4475,0.5838,0.4455,0.3145,28.47,43.37
Only MOD,phantom49,0.2227,0.1301,0.1642,0.1386,0.2054,27.24,12.14
Only MOD,phantom50,0.028,0.0135,0.0182,0.0198,0.1491,28.5,1.33
Only MOD,phantom51,0.3792,0.2276,0.2845,0.2376,0.2423,28.91,21.91
Only MOD,phantom54,0.0694,0.03,0.0419,0.0396,0.1441,26.91,3.0
Only MOD,phantom55,0.1085,0.0773,0.0903,0.0891,0.2573,26.31,7.73
Only MOD,phantom56,0.3701,0.2193,0.2754,0.2277,0.2697,28.64,21.93
Only MOD,phantom57,0.3306,0.2024,0.2511,0.2178,0.281,28.73,20.24
Only MOD,phantom58,0.4736,0.1416,0.218,0.1485,0.1495,29.83,14.16
Only MOD,phantom59,0.4258,0.0845,0.141,0.0891,0.098,30.12,8.45
Only MOD,phantom60,0.449,0.1428,0.2167,0.1485,0.1636,30.13,14.28
Only MOD,phantom61,0.0667,0.0056,0.0103,0.0099,0.0266,28.2,0.56
Only MOD,phantom63,0.0033,0.0006,0.001,0.0099,0.0415,26.4,0.06
Only MOD,phantom64,0.0112,0.0039,0.0058,0.0099,0.0882,25.32,0.39
Only MOD,phantom65,0.3112,0.1741,0.2233,0.1881,0.2482,26.16,17.41
Only MOD,phantom66,0.1998,0.0832,0.1174,0.0891,0.169,29.51,8.32
Only MOD,phantom68,0.1557,0.0789,0.1047,0.0891,0.1937,23.6,7.89
Only MOD,phantom70,0.4611,0.1275,0.1998,0.1386,0.1223,26.21,12.75
Only MOD,phantom71,0.6839,0.0734,0.1325,0.0792,0.059,29.75,7.34
Only MOD,phantom73,0.1745,0.0246,0.0431,0.0297,0.0443,23.5,2.43
Only MOD,phantom74,0.2136,0.0294,0.0516,0.0396,0.034,25.68,2.94
Only MOD,phantom75,0.0385,0.0072,0.0122,0.0099,0.0511,25.05,0.72
Only MOD,phantom76,0.7619,0.046,0.0867,0.0495,0.0324,29.34,4.58
Only MOD,phantom77,0.4181,0.1974,0.2682,0.2079,0.2208,28.82,19.74
Only MOD,phantom78,0.262,0.1312,0.1748,0.1485,0.2042,27.83,12.47
Only MOD,phantom79,0.4971,0.1502,0.2307,0.1584,0.1331,28.43,15.02
Only MOD,phantom80,0.5631,0.1843,0.2777,0.1881,0.1336,23.94,18.43
Only MOD,phantom81,0.5866,0.2068,0.3057,0.2079,0.1455,23.74,20.68
Only MOD,phantom84,0.0058,0.0011,0.0019,0.0099,0.0515,27.24,0.11
Only MOD,phantom85,0.3191,0.0728,0.1185,0.0792,0.0566,26.5,6.84
Only MOD,phantom86,0.271,0.0951,0.1408,0.099,0.1274,26.0,9.51
YOLO+LT,phantom02,0.9666,0.9505,0.9585,0.9402,0.7525,412.69,95.05
YOLO+LT,phantom04,0.8166,0.2228,0.3501,0.2274,0.1721,1137.23,22.28
YOLO+LT,phantom05,0.0,0.0,0.0,0.0,0.0,9403.26,0.0
YOLO+LT,phantom06,0.9054,0.8888,0.8971,0.8808,0.6963,413.82,88.88
YOLO+LT,phantom08,0.0,0.0,0.0,0.0,0.0,16039.17,0.0
YOLO+LT,phantom09,0.0,0.0,0.0,0.0,0.0,18955.82,0.0
YOLO+LT,phantom10,0.0,0.0,0.0,0.0,0.0,19522.0,0.0
YOLO+LT,phantom12,0.9694,0.9611,0.9652,0.9599,0.7952,407.99,93.33
YOLO+LT,phantom13,0.9811,0.7391,0.8431,0.732,0.5574,529.96,69.31
YOLO+LT,phantom14,0.9879,0.9718,0.9798,0.9697,0.7595,413.49,97.18
YOLO+LT,phantom16,0.9865,0.6063,0.751,0.6036,0.468,693.72,56.75
YOLO+LT,phantom19,0.0,0.0,0.0,0.0,0.0,22448.45,0.0
YOLO+LT,phantom20,0.7474,0.3192,0.4474,0.3266,0.2462,924.99,31.92
YOLO+LT,phantom22,0.6326,0.4013,0.4911,0.4158,0.3441,610.35,40.13
YOLO+LT,phantom23,0.9878,0.984,0.9859,0.9799,0.7951,414.32,96.47
YOLO+LT,phantom28,0.9985,0.5812,0.7347,0.5834,0.4717,658.54,58.12
YOLO+LT,phantom29,0.9959,0.4309,0.6015,0.4352,0.3324,954.29,40.38
YOLO+LT,phantom30,0.9677,0.9406,0.954,0.9302,0.7324,410.6,94.06
YOLO+LT,phantom32,0.894,0.8612,0.8773,0.8614,0.6805,407.98,86.12
YOLO+LT,phantom36,0.9063,0.8821,0.8941,0.8808,0.6526,412.12,88.21
YOLO+LT,phantom38,0.0,0.0,0.0,0.0,0.0,32593.85,0.0
YOLO+LT,phantom39,0.8069,0.1549,0.26,0.1584,0.1181,1821.23,15.49
YOLO+LT,phantom40,0.9863,0.9702,0.9782,0.9602,0.7718,412.35,97.02
YOLO+LT,phantom41,0.0,0.0,0.0,0.0,0.0,18318.46,0.0
YOLO+LT,phantom42,0.9871,0.9804,0.9837,0.9698,0.7583,412.79,96.73
YOLO+LT,phantom43,0.0,0.0,0.0,0.0,0.0,17712.92,0.0
YOLO+LT,phantom44,0.8651,0.8182,0.841,0.8116,0.6627,413.26,81.82
YOLO+LT,phantom45,0.918,0.8792,0.8981,0.8711,0.6375,411.34,87.92
YOLO+LT,phantom46,0.0,0.0,0.0,0.0,0.0,18746.56,0.0
YOLO+LT,phantom47,0.0,0.0,0.0,0.0,0.0,32034.3,0.0
YOLO+LT,phantom49,0.0,0.0,0.0,0.0,0.0,23547.75,0.0
YOLO+LT,phantom50,0.8528,0.111,0.1964,0.1186,0.085,2654.1,10.96
YOLO+LT,phantom51,0.9311,0.6869,0.7906,0.6826,0.5151,556.93,66.13
YOLO+LT,phantom54,0.6751,0.1491,0.2442,0.1584,0.1143,1649.2,14.91
YOLO+LT,phantom55,0.9025,0.6505,0.756,0.6533,0.4883,544.6,65.05
YOLO+LT,phantom56,0.9321,0.419,0.5781,0.4156,0.3165,888.91,41.9
YOLO+LT,phantom57,0.953,0.936,0.9444,0.9306,0.7043,417.57,93.6
YOLO+LT,phantom58,0.0,0.0,0.0,0.0,0.0,23794.27,0.0
YOLO+LT,phantom59,0.9729,0.4786,0.6416,0.4752,0.3475,801.55,47.86
YOLO+LT,phantom60,1.0,0.1579,0.2728,0.1584,0.1234,2369.62,15.79
YOLO+LT,phantom61,0.5633,0.2747,0.3693,0.2867,0.222,697.06,27.47
YOLO+LT,phantom63,0.0,0.0,0.0,0.0,0.0,19197.33,0.0
YOLO+LT,phantom64,0.573,0.0567,0.1032,0.0687,0.0485,3431.74,5.67
YOLO+LT,phantom65,0.0,0.0,0.0,0.0,0.0,9581.34,0.0
YOLO+LT,phantom66,0.8242,0.7967,0.8102,0.8019,0.5976,411.84,79.67
YOLO+LT,phantom68,0.2875,0.014,0.0266,0.0198,0.0208,4246.08,1.4
YOLO+LT,phantom70,0.0,0.0,0.0,0.0,0.0,12910.48,0.0
YOLO+LT,phantom71,0.754,0.5825,0.6573,0.5936,0.478,478.44,58.25
YOLO+LT,phantom73,0.7485,0.1908,0.304,0.198,0.1349,1413.94,18.81
YOLO+LT,phantom74,0.0,0.0,0.0,0.0,0.0,15967.46,0.0
YOLO+LT,phantom75,0.7888,0.3304,0.4657,0.3464,0.2646,922.2,33.04
YOLO+LT,phantom76,0.6582,0.1494,0.2436,0.1575,0.1144,1585.71,14.87
YOLO+LT,phantom77,0.8537,0.7108,0.7757,0.7129,0.557,470.49,71.08
YOLO+LT,phantom78,0.0,0.0,0.0,0.0,0.0,24478.4,0.0
YOLO+LT,phantom79,0.1321,0.004,0.0078,0.0099,0.0123,7202.78,0.4
YOLO+LT,phantom80,0.934,0.9147,0.9243,0.9106,0.7026,416.17,91.47
YOLO+LT,phantom81,0.9768,0.9596,0.9681,0.9503,0.7338,419.49,95.96
YOLO+LT,phantom84,0.474,0.0456,0.0832,0.0495,0.0498,3396.52,4.56
YOLO+LT,phantom85,0.9984,0.5546,0.7131,0.5539,0.4337,728.4,52.13
YOLO+LT,phantom86,0.0,0.0,0.0,0.0,0.0,19747.19,0.0
