Config,Sequence,Precision,Recall,F1-score,AP@0.5,Success(AUC),FPS,CDR (%)
w/o MOD,phantom12,0.9694,0.9611,0.9652,0.9599,0.7952,413.58,93.33
w/o MOD,phantom13,0.9811,0.7391,0.8431,0.732,0.5574,533.66,69.31
w/o MOD,phantom14,0.9879,0.9718,0.9798,0.9697,0.7595,413.56,97.18
w/o MOD,phantom16,0.9865,0.6063,0.751,0.6036,0.468,701.58,56.75
w/o MOD,phantom19,0.0,0.0,0.0,0.0,0.0,22578.94,0.0
w/o MOD,phantom20,0.7474,0.3192,0.4474,0.3266,0.2462,929.66,31.92
w/o MOD,phantom22,0.6326,0.4013,0.4911,0.4158,0.3441,611.29,40.13
w/o MOD,phantom23,0.9878,0.984,0.9859,0.9799,0.7951,413.44,96.47
w/o MOD,phantom28,0.9985,0.5812,0.7347,0.5834,0.4717,661.25,58.12
w/o MOD,phantom29,0.9959,0.4309,0.6015,0.4352,0.3324,958.78,40.38
w/o MOD,phantom30,0.9677,0.9406,0.954,0.9302,0.7324,412.28,94.06
w/o MOD,phantom32,0.894,0.8612,0.8773,0.8614,0.6805,411.76,86.12
w/o MOD,phantom36,0.9063,0.8821,0.8941,0.8808,0.6526,412.62,88.21
w/o MOD,phantom38,0.0,0.0,0.0,0.0,0.0,30270.13,0.0
w/o MOD,phantom39,0.8069,0.1549,0.26,0.1584,0.1181,1798.78,15.49
w/o MOD,phantom40,0.9863,0.9702,0.9782,0.9602,0.7718,415.04,97.02
w/o MOD,phantom41,0.0,0.0,0.0,0.0,0.0,19301.72,0.0
w/o MOD,phantom42,0.9871,0.9804,0.9837,0.9698,0.7583,415.6,96.73
w/o MOD,phantom43,0.0,0.0,0.0,0.0,0.0,19061.27,0.0
w/o MOD,phantom44,0.8651,0.8182,0.841,0.8116,0.6627,411.24,81.82
w/o MOD,phantom45,0.918,0.8792,0.8981,0.8711,0.6375,416.94,87.92
w/o MOD,phantom46,0.0,0.0,0.0,0.0,0.0,18576.77,0.0
w/o MOD,phantom47,0.0,0.0,0.0,0.0,0.0,32485.45,0.0
w/o MOD,phantom49,0.0,0.0,0.0,0.0,0.0,25189.21,0.0
w/o MOD,phantom50,0.8528,0.111,0.1964,0.1186,0.085,2668.86,10.96
